0.619469027,A
0.690265487,A
0.654867257,A
0.610619469,A
0.584070796,A
0.646017699,A
0.637168142,A
0.646017699,A
0.637168142,A
0.672566372,A
0.654867257,A
0.663716814,A
0.575221239,A
0.628318584,A
0.663716814,A
0.672566372,A
0.663716814,A
0.707964602,A
0.672566372,A
0.637168142,A
0.884955752,A
0.601769912,A
0.619469027,A
0.637168142,A
0.690265487,A
0.681415929,A
0.707964602,A
0.681415929,A
0.681415929,A
0.672566372,A
0.619469027,B
0.690265487,B
0.654867257,B
0.610619469,B
0.584070796,B
0.646017699,B
0.637168142,B
0.646017699,B
0.637168142,B
0.672566372,B
0.654867257,B
0.920353982,B
0.575221239,B
0.628318584,B
0.663716814,B
0.672566372,B
0.663716814,B
0.707964602,B
0.672566372,B
0.637168142,B
0.601769912,B
0.601769912,B
0.619469027,B
0.920353982,B
0.92920354,B
0.681415929,B
0.707964602,B
0.89380531,B
0.681415929,B
0.672566372,B
